ispitanik	re? 1	re?2	modalitet	zadatak	response	malo dummy	mnogo dummy
a8	vosak	sve?a	mnogo	cued	0	0	1
a8	deterdžent	sapun	mnogo	cued	0	0	1
a8	autobus	automobil	mnogo	cued	1	0	1
a8	pepeljara	cigareta	mnogo	cued	1	0	1
a8	cimet	bosiljak	mnogo	cued	1	0	1
a8	kiša	žaba	mnogo	cued	0	0	1
a8	tastatura	kompjuter	mnogo	cued	0	0	1
a8	reka	voda	mnogo	cued	1	0	1
a8	cvet	p?ela	mnogo	cued	0	0	1
a9	teorija	nauka	nula	cued	0	0	0
a9	znanje	memorija	nula	cued	0	0	0
a9	nasilje	agresija	nula	cued	0	0	0
a9	poštenje	moral	nula	cued	0	0	0
a9	ljubomora	zavist	nula	cued	0	0	0
a9	šansa	prilika	nula	cued	1	0	0
a9	optimizam	nada	nula	cued	0	0	0
a9	san	mašta	nula	cued	0	0	0
a9	verovanje	religija	nula	cued	1	0	0
a9	dogovor	politika	nula	cued	0	0	0
a9	snaga	sila	nula	cued	1	0	0
a9	plakat	bilbord	malo	cued	0	1	0
a9	odžak	krov	malo	cued	0	1	0
a9	igla	ubod	malo	cued	1	1	0
a9	sijalica	bandera	malo	cued	0	1	0
a9	sveska	olovka	malo	cued	1	1	0
a9	leptir	cvr?ak 	malo	cued	0	1	0
a9	šiške	trepavice	malo	cued	1	1	0
a9	fotografija	slika	malo	cued	1	1	0
a9	nož	kutla?a	malo	cued	1	1	0
a9	ekran	monitor	malo	cued	1	1	0
a9	cigla	kamen	malo	cued	0	1	0
a9	?arapa	patika	mnogo	cued	1	0	1
a9	narandža	breskva	mnogo	cued	0	0	1
a9	vosak	sve?a	mnogo	cued	1	0	1
a9	deterdžent	sapun	mnogo	cued	0	0	1
a9	autobus	automobil	mnogo	cued	1	0	1
a9	pepeljara	cigareta	mnogo	cued	1	0	1
a9	cimet	bosiljak	mnogo	cued	0	0	1
a9	kiša	žaba	mnogo	cued	1	0	1
a9	tastatura	kompjuter	mnogo	cued	1	0	1
a9	reka	voda	mnogo	cued	0	0	1
a9	cvet	p?ela	mnogo	cued	1	0	1
a10	teorija	nauka	nula	cued	1	0	0
a10	znanje	memorija	nula	cued	0	0	0
a10	nasilje	agresija	nula	cued	1	0	0
a10	poštenje	moral	nula	cued	0	0	0
a10	ljubomora	zavist	nula	cued	1	0	0
a10	šansa	prilika	nula	cued	1	0	0
a10	optimizam	nada	nula	cued	1	0	0
a10	san	mašta	nula	cued	1	0	0
a10	verovanje	religija	nula	cued	1	0	0
a10	dogovor	politika	nula	cued	0	0	0
a10	snaga	sila	nula	cued	0	0	0
a10	plakat	bilbord	malo	cued	1	1	0
a10	odžak	krov	malo	cued	1	1	0
a10	igla	ubod	malo	cued	0	1	0
a10	sijalica	bandera	malo	cued	1	1	0
a10	sveska	olovka	malo	cued	1	1	0
a10	leptir	cvr?ak 	malo	cued	0	1	0
a10	šiške	trepavice	malo	cued	1	1	0
a10	fotografija	slika	malo	cued	1	1	0
a10	nož	kutla?a	malo	cued	0	1	0
a10	ekran	monitor	malo	cued	1	1	0
a10	cigla	kamen	malo	cued	1	1	0
a10	?arapa	patika	mnogo	cued	1	0	1
a10	narandža	breskva	mnogo	cued	1	0	1
a10	vosak	sve?a	mnogo	cued	1	0	1
a10	deterdžent	sapun	mnogo	cued	1	0	1
a10	autobus	automobil	mnogo	cued	0	0	1
a10	pepeljara	cigareta	mnogo	cued	1	0	1
a10	cimet	bosiljak	mnogo	cued	1	0	1
a10	kiša	žaba	mnogo	cued	1	0	1
a10	tastatura	kompjuter	mnogo	cued	0	0	1
a10	reka	voda	mnogo	cued	0	0	1
a10	cvet	p?ela	mnogo	cued	1	0	1
a11	teorija	nauka	nula	cued	1	0	0
a11	znanje	memorija	nula	cued	0	0	0
a11	nasilje	agresija	nula	cued	1	0	0
a11	poštenje	moral	nula	cued	0	0	0
a11	ljubomora	zavist	nula	cued	1	0	0
a11	šansa	prilika	nula	cued	1	0	0
a11	optimizam	nada	nula	cued	1	0	0
a11	san	mašta	nula	cued	1	0	0
a11	verovanje	religija	nula	cued	1	0	0
a11	dogovor	politika	nula	cued	1	0	0
a11	snaga	sila	nula	cued	1	0	0
a11	plakat	bilbord	malo	cued	1	1	0
a11	odžak	krov	malo	cued	1	1	0
a11	igla	ubod	malo	cued	1	1	0
a11	sijalica	bandera	malo	cued	1	1	0
a11	sveska	olovka	malo	cued	0	1	0
a11	leptir	cvr?ak 	malo	cued	0	1	0
a11	šiške	trepavice	malo	cued	1	1	0
a11	fotografija	slika	malo	cued	1	1	0
a11	nož	kutla?a	malo	cued	1	1	0
a11	ekran	monitor	malo	cued	1	1	0
a11	cigla	kamen	malo	cued	1	1	0
a11	?arapa	patika	mnogo	cued	1	0	1
a11	narandža	breskva	mnogo	cued	0	0	1
a11	vosak	sve?a	mnogo	cued	1	0	1
a11	deterdžent	sapun	mnogo	cued	0	0	1
a11	autobus	automobil	mnogo	cued	0	0	1
a11	pepeljara	cigareta	mnogo	cued	0	0	1
a11	cimet	bosiljak	mnogo	cued	1	0	1
a11	kiša	žaba	mnogo	cued	0	0	1
a11	tastatura	kompjuter	mnogo	cued	1	0	1
a11	reka	voda	mnogo	cued	1	0	1
a11	cvet	p?ela	mnogo	cued	0	0	1
a12	teorija	nauka	nula	cued	1	0	0
a12	znanje	memorija	nula	cued	0	0	0
a12	nasilje	agresija	nula	cued	1	0	0
a12	poštenje	moral	nula	cued	1	0	0
a12	ljubomora	zavist	nula	cued	0	0	0
a12	šansa	prilika	nula	cued	1	0	0
a12	optimizam	nada	nula	cued	1	0	0
a12	san	mašta	nula	cued	0	0	0
a12	verovanje	religija	nula	cued	0	0	0
a12	dogovor	politika	nula	cued	0	0	0
a12	snaga	sila	nula	cued	1	0	0
a12	plakat	bilbord	malo	cued	1	1	0
a12	odžak	krov	malo	cued	0	1	0
a12	igla	ubod	malo	cued	0	1	0
a12	sijalica	bandera	malo	cued	0	1	0
a12	sveska	olovka	malo	cued	0	1	0
a12	leptir	cvr?ak 	malo	cued	1	1	0
a12	šiške	trepavice	malo	cued	1	1	0
a12	fotografija	slika	malo	cued	1	1	0
a12	nož	kutla?a	malo	cued	1	1	0
a12	ekran	monitor	malo	cued	0	1	0
a12	cigla	kamen	malo	cued	0	1	0
a12	?arapa	patika	mnogo	cued	0	0	1
a12	narandža	breskva	mnogo	cued	0	0	1
a12	vosak	sve?a	mnogo	cued	1	0	1
a12	deterdžent	sapun	mnogo	cued	0	0	1
a12	autobus	automobil	mnogo	cued	0	0	1
a12	pepeljara	cigareta	mnogo	cued	0	0	1
a12	cimet	bosiljak	mnogo	cued	1	0	1
a12	kiša	žaba	mnogo	cued	0	0	1
a12	tastatura	kompjuter	mnogo	cued	0	0	1
a12	reka	voda	mnogo	cued	0	0	1
a12	cvet	p?ela	mnogo	cued	0	0	1
a13	teorija	nauka	nula	cued	0	0	0
a13	znanje	memorija	nula	cued	1	0	0
a13	nasilje	agresija	nula	cued	1	0	0
a13	poštenje	moral	nula	cued	0	0	0
a13	ljubomora	zavist	nula	cued	1	0	0
a13	šansa	prilika	nula	cued	1	0	0
a13	optimizam	nada	nula	cued	1	0	0
a13	san	mašta	nula	cued	0	0	0
a13	verovanje	religija	nula	cued	1	0	0
a13	dogovor	politika	nula	cued	1	0	0
a13	snaga	sila	nula	cued	1	0	0
a13	plakat	bilbord	malo	cued	1	1	0
